#dim half(ms) single(ms) double(ms)
3507200 0.151488 0.279488 0.557856
3520000 0.155552 0.279648 0.553600
3532800 0.151232 0.280640 0.557408
3545600 0.153376 0.280416 0.594240
3558400 0.151520 0.277824 0.552160
3571200 0.153248 0.280032 0.560288
3584000 0.151808 0.277664 0.560960
3596800 0.158400 0.278528 0.560288
3609600 0.154400 0.286432 0.567520
3622400 0.156192 0.322240 0.568736
3635200 0.154752 0.289152 0.567424
3648000 0.159936 0.282080 0.570496
3660800 0.161792 0.285888 0.572224
3673600 0.160576 0.288672 0.579040
3686400 0.161536 0.310912 0.580448
3699200 0.163904 0.290816 0.576000
3712000 0.160512 0.293504 0.586400
3724800 0.163776 0.297216 0.579616
3737600 0.160736 0.291840 0.591808
3750400 0.158080 0.293952 0.591520
3763200 0.159328 0.300416 0.615136
3776000 0.161536 0.295936 0.585792
3788800 0.167200 0.294752 0.593952
3801600 0.160192 0.298176 0.589824
3814400 0.163232 0.302496 0.600736
3827200 0.167296 0.300832 0.598304
3840000 0.167648 0.302752 0.617920
3852800 0.168608 0.301344 0.603648
3865600 0.167104 0.302496 0.603392
3878400 0.167744 0.308352 0.601568
3891200 0.166496 0.306976 0.608672
3904000 0.170880 0.305696 0.602624
3916800 0.169024 0.307776 0.617472
3929600 0.167072 0.307040 0.615552
3942400 0.166400 0.313952 0.623808
3955200 0.173152 0.318080 0.618240
3968000 0.176000 0.316224 0.623200
3980800 0.176128 0.315456 0.622592
3993600 0.169408 0.311264 0.624736
4006400 0.175840 0.316768 0.631488
4019200 0.171680 0.316000 0.626208
4032000 0.176544 0.314944 0.626464
4044800 0.176544 0.316992 0.640160
4057600 0.175200 0.314816 0.632384
4070400 0.176704 0.322976 0.633856
4083200 0.175584 0.317760 0.638816
4096000 0.176128 0.320768 0.680064
4108800 0.177504 0.320128 0.640096
4121600 0.176128 0.327040 0.643904
4134400 0.175232 0.326784 0.649344
4147200 0.176800 0.321088 0.646656
4160000 0.182240 0.328864 0.650560
4172800 0.181344 0.332768 0.654784
4185600 0.179680 0.332224 0.652800
4198400 0.184288 0.326944 0.652896
4211200 0.189408 0.332608 0.655968
4224000 0.188320 0.333632 0.668896
4236800 0.185248 0.335904 0.666720
4249600 0.185376 0.334784 0.662688
4262400 0.185568 0.331200 0.663008
4275200 0.184256 0.332224 0.669760
4288000 0.188896 0.334176 0.676352
4300800 0.187360 0.334560 0.675872
4313600 0.185216 0.344192 0.677056
4326400 0.188896 0.343360 0.673024
4339200 0.194112 0.338784 0.675456
4352000 0.191136 0.343168 0.676768
4364800 0.192832 0.341056 0.683328
4377600 0.191808 0.346880 0.685984
4390400 0.191616 0.342880 0.683552
4403200 0.192128 0.344928 0.689856
4416000 0.194144 0.344864 0.692736
4428800 0.192320 0.347360 0.711456
4441600 0.191296 0.351648 0.698144
4454400 0.192512 0.352000 0.698464
4467200 0.195968 0.349536 0.700096
4480000 0.195136 0.357888 0.698784
4492800 0.193408 0.352384 0.737664
4505600 0.200864 0.354848 0.701856
4518400 0.199808 0.360096 0.705152
4531200 0.202432 0.361024 0.712256
4544000 0.201600 0.356256 0.713280
4556800 0.201696 0.357024 0.714720
4569600 0.202752 0.361824 0.718624
4582400 0.202688 0.360672 0.716480
4595200 0.204064 0.363392 0.722048
4608000 0.202112 0.361984 0.723424
4620800 0.201824 0.361120 0.728448
4633600 0.206720 0.362944 0.724608
4646400 0.200832 0.361600 0.725504
4659200 0.201056 0.363392 0.732800
4672000 0.205216 0.367584 0.726208
4684800 0.203360 0.374848 0.738912
4697600 0.222592 0.371840 0.733888
4710400 0.205056 0.367328 0.739904
4723200 0.207584 0.373568 0.742144
4736000 0.209440 0.372224 0.736768
4748800 0.203328 0.371552 0.745024
4761600 0.210368 0.388832 0.741600
4774400 0.206016 0.377984 0.785440
4787200 0.207680 0.376064 0.755680
4800000 0.207680 0.378304 0.748192
4812800 0.215264 0.377824 0.761440
4825600 0.209792 0.377504 0.757184
4838400 0.210336 0.381504 0.791136
4851200 0.226752 0.382112 0.762112
4864000 0.215744 0.380384 0.766464
4876800 0.215744 0.380416 0.769824
4889600 0.214592 0.386080 0.799808
4902400 0.216512 0.381408 0.773632
4915200 0.218272 0.386848 0.766784
4928000 0.215296 0.389088 0.771296
4940800 0.217984 0.428640 0.772864
4953600 0.217824 0.393312 0.808224
4966400 0.215136 0.389568 0.776896
4979200 0.215328 0.391648 0.773376
4992000 0.217632 0.391200 0.785632
5004800 0.221120 0.397024 0.786272
5017600 0.224512 0.391584 0.784672
5030400 0.222880 0.397920 0.786496
5043200 0.220160 0.399232 0.793568
5056000 0.220704 0.399072 0.787520
5068800 0.216896 0.399008 0.793952
5081600 0.224672 0.403264 0.791712
5094400 0.222112 0.417600 0.795776
5107200 0.225248 0.400000 0.796800
5120000 0.225696 0.404608 0.792480
5132800 0.226528 0.401216 0.806752
5145600 0.227168 0.404320 0.800992
5158400 0.225856 0.407584 0.840512
5171200 0.225792 0.407616 0.820160
5184000 0.221792 0.408992 0.805120
5196800 0.225600 0.408896 0.815616
5209600 0.231008 0.414464 0.816544
5222400 0.230368 0.414752 0.825152
5235200 0.226080 0.409568 0.819776
5248000 0.223808 0.413248 0.811968
5260800 0.223584 0.410944 0.821120
5273600 0.226336 0.419104 0.812352
5286400 0.225376 0.419232 0.826464
5299200 0.223488 0.415104 0.822976
5312000 0.222624 0.414944 0.825216
5324800 0.223296 0.422048 0.827520
5337600 0.230240 0.418208 0.827328
5350400 0.225088 0.441696 0.839328
5363200 0.226464 0.423744 0.834336
5376000 0.224672 0.424544 0.837856
5388800 0.235040 0.420160 0.843488
5401600 0.228704 0.422720 0.846784
5414400 0.229312 0.425696 0.850080
5427200 0.233568 0.430848 0.880800
5440000 0.231648 0.427552 0.843520
5452800 0.233568 0.432416 0.882368
5465600 0.233888 0.431968 0.854592
5478400 0.232704 0.436064 0.856032
5491200 0.230752 0.441600 0.857344
5504000 0.230176 0.434080 0.855584
5516800 0.237184 0.432480 0.868608
5529600 0.235680 0.438560 0.865536
5542400 0.234144 0.431968 0.868128
5555200 0.236288 0.441120 0.875456
5568000 0.232320 0.436160 0.863616
5580800 0.238048 0.440288 0.872800
5593600 0.238752 0.435936 0.907744
5606400 0.241824 0.444384 0.875104
5619200 0.240992 0.442400 0.885696
5632000 0.238912 0.446016 0.872096
5644800 0.238752 0.445792 0.886656
5657600 0.258592 0.444128 0.885216
5670400 0.237600 0.444128 0.875072
5683200 0.240224 0.446560 0.895904
5696000 0.242304 0.444864 0.892928
5708800 0.240928 0.449856 0.893792
5721600 0.238976 0.448576 0.898240
5734400 0.242784 0.452992 0.891648
